,United States,China,India,United Kingdom,Italy,Germany,France,Japan,Canada,Brazil,Australia,Russia,Spain,Netherlands,South Korea,Turkey,Iran,Switzerland,Mexico,Sweden
United States,0,92,14,71,60,20,82,86,74,74,87,99,23,2,21,52,1,87,29,37
China,1,0,59,20,32,75,57,21,88,48,90,58,41,91,59,79,14,61,61,46
India,61,50,0,63,2,50,6,20,72,38,17,3,88,59,13,8,89,52,1,83
United Kingdom,91,59,70,0,7,46,34,77,80,35,49,3,1,5,53,3,53,92,62,17
Italy,89,43,33,73,0,99,13,94,47,14,71,77,86,61,39,84,79,81,52,23
Germany,25,88,59,40,28,0,44,64,88,70,8,87,0,7,87,62,10,80,7,34
France,34,32,4,40,27,6,0,71,11,33,32,47,22,61,87,36,98,43,85,90
Japan,34,64,98,46,77,2,0,0,89,13,26,8,78,14,89,41,76,50,62,95
Canada,51,95,3,93,22,14,42,28,0,12,31,70,58,85,27,65,41,44,61,56
Brazil,5,27,27,43,83,29,61,74,91,0,61,96,0,26,61,76,2,69,71,26
Australia,8,61,36,96,50,43,23,78,58,31,0,87,51,61,57,51,11,38,1,2
Russia,55,80,58,1,1,91,53,86,95,96,0,0,1,52,43,89,31,69,31,67
Spain,54,74,55,16,37,23,68,97,69,85,10,15,0,72,58,69,79,92,2,19
Netherlands,58,35,18,89,66,18,19,95,70,51,32,39,38,0,0,10,91,56,88,49
South Korea,22,30,93,41,98,6,15,89,59,1,0,47,11,68,0,31,8,98,18,47
Turkey,79,2,19,23,53,32,23,74,71,35,37,83,98,88,98,0,92,17,81,65
Iran,53,34,79,60,40,99,32,67,32,13,20,47,19,7,6,66,0,32,47,75
Switzerland,58,85,21,29,37,50,53,7,26,26,97,20,29,96,27,63,96,0,60,47
Mexico,18,3,34,63,48,16,43,91,29,92,45,5,98,36,23,92,45,52,0,98
Sweden,59,96,62,84,31,86,32,66,17,24,94,53,57,66,45,23,31,46,85,0
